                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1197,                 2.6109,                 1.8791,                0.97405,                0.97086,                  0.995,                 0.4634,                 1.6812,                 1.7334,                  1.491,              0.0003678,              0.0003678,              0.0003678
                     35,                 1.9569,                 2.4785,                 1.8174,                0.89014,                0.95842,                  0.995,                0.47084,                 1.7201,                 1.6985,                 1.5226,             0.00033316,             0.00033316,             0.00033316
                     36,                 1.9951,                 2.4669,                 1.8106,                0.88274,                0.97411,                  0.995,                0.42691,                 1.8796,                 1.4934,                 1.6249,             0.00029971,             0.00029971,             0.00029971
                     37,                 1.9442,                 2.4218,                 1.7251,                0.94323,                    0.9,                0.97833,                0.42149,                 1.9039,                 1.4668,                 1.6379,             0.00026756,             0.00026756,             0.00026756
                     38,                 1.9519,                 2.2518,                 1.7758,                0.97362,                    0.9,                0.97833,                0.44868,                 1.8465,                 1.4866,                 1.6087,             0.00023684,             0.00023684,             0.00023684
                     39,                 2.0764,                  2.384,                  1.867,                0.95822,                    0.9,                0.97833,                0.48006,                 1.7586,                 1.4934,                 1.5586,             0.00020769,             0.00020769,             0.00020769
                     40,                  1.954,                 2.4017,                 1.7573,                0.91166,                0.98361,                  0.995,                0.52327,                 1.6285,                 1.4397,                 1.4866,              0.0001802,              0.0001802,              0.0001802
                     41,                 1.7667,                 2.5735,                 1.6967,                0.92283,                0.98312,                  0.995,                0.57453,                 1.5524,                 1.4088,                 1.4418,             0.00015449,             0.00015449,             0.00015449
                     42,                 1.7201,                 2.4591,                 1.6276,                0.97501,                0.97912,                  0.995,                0.62392,                  1.445,                 1.4073,                   1.38,             0.00013067,             0.00013067,             0.00013067
                     43,                 1.6204,                 2.3228,                 1.5707,                0.97356,                      1,                  0.995,                0.62527,                 1.4316,                 1.4399,                 1.3616,             0.00010882,             0.00010882,             0.00010882
                     44,                 1.7007,                 2.3987,                 1.6187,                0.95806,                      1,                  0.995,                0.64615,                 1.4322,                 1.4838,                 1.3621,             8.9035e-05,             8.9035e-05,             8.9035e-05
                     45,                 1.6804,                 2.3201,                 1.6107,                0.97116,                      1,                  0.995,                 0.6126,                 1.4442,                 1.4898,                 1.3677,             7.1388e-05,             7.1388e-05,             7.1388e-05
                     46,                 1.6166,                  2.345,                 1.5387,                0.97062,                0.98654,                  0.995,                0.62604,                 1.4437,                 1.4758,                 1.3684,             5.5951e-05,             5.5951e-05,             5.5951e-05
                     47,                 1.7336,                 2.3929,                 1.5892,                0.95668,                0.98538,                  0.995,                0.63129,                 1.4494,                 1.4603,                 1.3678,             4.2784e-05,             4.2784e-05,             4.2784e-05
                     48,                  1.686,                 2.3342,                 1.6267,                 0.9379,                0.98767,                  0.995,                0.61821,                 1.4507,                 1.4424,                 1.3692,             3.1939e-05,             3.1939e-05,             3.1939e-05
                     49,                 1.6178,                 2.1861,                 1.5078,                 0.9335,                 0.9895,                  0.995,                0.59438,                 1.4517,                 1.4291,                 1.3699,              2.346e-05,              2.346e-05,              2.346e-05
                     50,                  1.644,                 2.3081,                  1.515,                0.92809,                 0.9942,                  0.995,                0.58703,                  1.459,                  1.404,                 1.3741,             1.7379e-05,             1.7379e-05,             1.7379e-05
